budget,dataset,mean_accuracy,mean_avg_actions,mean_avg_expansions,mean_avg_verifications,mean_budget_exhaustion_rate,method,n_rows,std_accuracy,std_avg_actions,stderr_accuracy,stderr_avg_actions
10,HuggingFaceH4/MATH-500,0.6944444444444443,8.722222222222223,5.972222222222221,2.75,0.4166666666666667,self_consistency_3,3,0.048112522432468836,0.24056261216234373,0.027777777777777794,0.1388888888888887
10,HuggingFaceH4/MATH-500,0.5277777777777778,5.444444444444444,3.0277777777777772,2.4166666666666665,0.19444444444444442,strict_coupled_tie_aware_promoted,3,0.17347216662217774,2.1478887135803673,0.10015420209622193,1.240084126974984
10,HuggingFaceH4/MATH-500,0.5833333333333334,7.9444444444444455,4.9444444444444455,3.0,0.0,verifier_guided_search,3,0.08333333333333331,0.20971762320196494,0.04811252243246881,0.12108052620946297
6,Idavidrein/gpqa,0.47222222222222215,3.4166666666666665,2.472222222222222,0.9444444444444443,0.22222222222222224,adaptive_budget_guarded,3,0.20971762320196524,0.7216878364870322,0.12108052620946315,0.4166666666666667
6,Idavidrein/gpqa,0.5833333333333334,4.0,4.0,0.0,0.19444444444444442,reasoning_beam2,3,0.14433756729740646,0.36324157862838957,0.08333333333333334,0.20971762320196535
6,Idavidrein/gpqa,0.5833333333333334,1.9166666666666667,1.9166666666666667,0.0,0.0,reasoning_greedy,3,0.1443375672974064,0.33333333333333337,0.08333333333333331,0.1924500897298753
6,Idavidrein/gpqa,0.4166666666666667,6.0,4.472222222222221,1.527777777777778,1.0,self_consistency_3,3,0.08333333333333334,0.0,0.04811252243246882,0.0
6,Idavidrein/gpqa,0.47222222222222215,3.4166666666666665,2.472222222222222,0.9444444444444443,0.22222222222222224,strict_coupled_tie_aware_promoted,3,0.20971762320196524,0.7216878364870322,0.12108052620946315,0.4166666666666667
6,Idavidrein/gpqa,0.3333333333333333,6.0,3.0,3.0,1.0,verifier_guided_search,3,0.22047927592204924,0.0,0.12729376930432892,0.0
8,Idavidrein/gpqa,0.4166666666666667,4.5,2.5833333333333335,1.9166666666666667,0.25,adaptive_budget_guarded,3,0.0,1.5433549314543442,0.0,0.891056385130302
